cow,breed,lactation_number_in_data,calvdate,parity,date,mtotalmotion,mtotalsteps,mhoursstanding,mhourslying,mlyingbouts,mrumination,mactivity,predictedcalving,calved,calvingeasescore,date1,daysprior
1358,H,1,22-Nov-11,multiparous,10NOV11:00:00:00,927.3333333,206.0833333,0.835138889,1.164861111,0.916666667,27.58333333,20.45833333,14,0,2,10-Nov-11,-12
1358,H,1,22-Nov-11,multiparous,11NOV11:00:00:00,1103.75,230.5,0.892986111,1.107013889,1.333333333,30.25,21.14166667,13,0,2,11-Nov-11,-11
1358,H,1,22-Nov-11,multiparous,12NOV11:00:00:00,1094.666667,236,0.813888889,1.186111111,0.916666667,21.83333333,16.40833333,12,0,2,12-Nov-11,-10
1358,H,1,22-Nov-11,multiparous,13NOV11:00:00:00,1273.583333,280.9166667,0.962175926,1.037824074,0.916666667,17.91666667,11.05,11,0,2,13-Nov-11,-9
1358,H,1,22-Nov-11,multiparous,14NOV11:00:00:00,1130.833333,241.3333333,0.791273148,1.208726852,1,24.66666667,19.675,10,0,2,14-Nov-11,-8
1358,H,1,22-Nov-11,multiparous,15NOV11:00:00:00,463.4166667,112.3333333,0.764097222,1.235902778,0.916666667,24.91666667,14.85,9,0,2,15-Nov-11,-7
1358,H,1,22-Nov-11,multiparous,16NOV11:00:00:00,976.75,238,0.914259259,1.085740741,1,20.41666667,9.083333333,8,0,2,16-Nov-11,-6
1358,H,1,22-Nov-11,multiparous,17NOV11:00:00:00,789.25,185.4166667,0.924236111,1.054930556,1.083333333,20.75,19.88333333,7,0,2,17-Nov-11,-5
1358,H,1,22-Nov-11,multiparous,18NOV11:00:00:00,779.9166667,187.9166667,0.953518519,1.046481482,1.083333333,21.5,14.325,6,0,2,18-Nov-11,-4
1358,H,1,22-Nov-11,multiparous,19NOV11:00:00:00,1288.916667,302.75,0.966226852,1.033773148,0.916666667,20.83333333,16.35833333,5,0,2,19-Nov-11,-3
1358,H,1,22-Nov-11,multiparous,20NOV11:00:00:00,779.5,190.3333333,0.983541667,1.016458333,0.833333333,27.33333333,20.90833333,4,0,2,20-Nov-11,-2
